teff,logg,period
3457.0,4.88,40.428
3935.0,4.63,25.826
4224.0,4.4,2.746
4300.0,4.65,37.919
3445.0,5.02,31.25
4082.0,4.56,21.327
3933.0,4.58,20.458
4140.0,4.61,28.627
4028.0,4.57,13.938
3472.0,4.94,44.121
4324.0,4.62,12.42
3859.0,4.56,18.347
3697.0,4.42,34.22
4321.0,4.35,3.28
4257.0,4.56,10.098
4290.0,4.55,29.766
4265.0,4.67,10.654
3962.0,4.71,17.869
3851.0,4.73,32.581
4296.0,4.54,1.757
4314.0,4.71,34.277
4125.0,4.51,0.386
3644.0,4.84,11.378
4353.0,4.55,17.4
4353.0,4.54,24.333
4259.0,4.44,11.934
3867.0,4.78,21.603
4288.0,4.75,39.754
3478.0,4.94,20.946
4178.0,4.62,19.605
3509.0,4.89,20.803
4031.0,4.68,32.404
4211.0,4.57,11.956
3334.0,4.97,40.462
4071.0,4.42,9.748
3829.0,4.82,14.239
4075.0,4.53,12.858
4343.0,4.59,17.234
3981.0,4.72,42.148
4324.0,4.74,19.757
4343.0,4.74,27.547
4124.0,4.63,16.079
3716.0,4.24,22.287
4016.0,4.5,11.831
4201.0,4.65,29.147
3928.0,4.47,28.362
3743.0,4.9,18.41
4263.0,4.51,11.464
4120.0,4.33,6.689
4250.0,4.45,38.464
4312.0,4.6,20.734
4015.0,4.58,17.481
3724.0,4.84,38.289
3529.0,4.9,46.456
4212.0,4.58,21.763
4203.0,4.65,10.427
3525.0,4.91,38.142
4257.0,4.54,27.316
3512.0,4.03,41.679
4312.0,4.43,1.582
4356.0,4.51,18.061
3835.0,4.76,24.306
3921.0,4.72,17.911
4069.0,4.46,13.51
3306.0,5.01,61.359
4059.0,4.5,6.345
4183.0,4.54,20.88
4213.0,4.61,21.642
4082.0,4.55,31.968
4087.0,4.57,14.563
3975.0,4.7,14.124
4266.0,4.46,29.049
3812.0,4.8,15.113
4224.0,4.55,29.636
3847.0,4.74,22.532
3718.0,4.57,19.854
4047.0,4.53,12.306
3285.0,5.02,20.284
4314.0,4.57,16.461
4166.0,4.62,15.237
4078.0,4.37,10.367
4101.0,4.6,18.058
3841.0,4.81,12.259
3789.0,4.83,31.25
4313.0,4.73,18.847
4366.0,4.69,36.03
4201.0,4.38,12.75
3836.0,4.8,30.273
4201.0,4.55,14.692
3474.0,4.96,27.456
4307.0,4.63,12.491
3999.0,4.42,38.357
3569.0,4.87,31.693
